,author,co-author,doi,co-author_list,title
0,"Huffman, Derek J.","['Ekstrom, Arne D.', 'Ekstrom, Arne D.']","['10.1162/jocn_a_01653', '10.1016/j.neuron.2019.08.012']","{'Ekstrom, Arne D.'}","['An Important Step toward Understanding the Role of Body-based Cues on Human Spatial Memory for Large-Scale Environments', 'A Modality-Independent Network Underlies the Retrieval of Large-Scale Spatial Environments in the Human Brain']"
1,"Nash, Michelle I.","['Kirwan, C. Brock']",['10.1002/hipo.23299'],"{'Kirwan, C. Brock'}",['Pattern separation beyond the hippocampus: A high-resolution whole-brain investigation of mnemonic discrimination in healthy adults']
2,"Baumann, Oliver","['Humphreys, Michael S.', 'Mattingley, Jason B.', 'Mattingley, Jason B.', 'Mattingley, Jason B.', 'Mattingley, Jason B.']","['10.3389/fpsyg.2020.591231', '10.1523/JNEUROSCI.3368-15.2016', '10.1016/j.neuroimage.2012.01.089', '10.1523/JNEUROSCI.3077-10.2010', '10.1016/j.neuroimage.2009.10.021']","{'Mattingley, Jason B.', 'Humphreys, Michael S.'}","['Behavioral and Neural Effects of Familiarization on Object-Background Associations', 'Functional Organization of the Parahippocampal Cortex: Dissociable Roles for Context Representations and the Perception of Visual Scenes', 'Distinct neural networks underlie encoding of categorical versus coordinate spatial relations during active navigation', 'Medial Parietal Cortex Encodes Perceived Heading Direction in Humans', 'Dissociable neural circuits for encoding and retrieval of object locations during active navigation in humans']"
3,"Agathos, Catherine Persephone","['Arleo, Angelo']",['10.3389/fnagi.2020.588653'],"{'Arleo, Angelo'}",['Postural Control While Walking Interferes With Spatial Learning in Older Adults Navigating in a Real Environment']
4,"Zhang, Ze","['Luo, Jing']",['10.1155/2020/1049721'],"{'Luo, Jing'}",['The Function of the Hippocampus in Bridging Functional and Temporal Discontiguity']
5,"Clark, Ian A.","['Maguire, Eleanor A.']",['10.1016/j.neuroimage.2020.117211'],"{'Maguire, Eleanor A.'}",['Does hippocampal volume explain performance differences on hippocampal-dependant tasks?']
6,"Seguin, Caio","['Zalesky, Andrew']",['10.1162/netn_a_00161'],"{'Zalesky, Andrew'}",['Network communication models improve the behavioral and functional predictive utility of the human structural connectome']
7,"Vazquez-Rodriguez, Bertha","['Misic, Bratislav']",['10.1162/netn_a_00153'],"{'Misic, Bratislav'}",['Signal propagation via cortical hierarchies']
8,"Monsa, Rotem","['Arzy, Shahar']",['10.1162/jocn_a_01615'],"{'Arzy, Shahar'}",['Processing of Different Temporal Scales in the Human Brain']
9,"Dombrovski, Alexandre Y.","['Hallquist, Michael N.']",['10.1038/s41467-020-18864-0'],"{'Hallquist, Michael N.'}",['Differential reinforcement encoding along the hippocampal long axis helps resolve the explore-exploit dilemma']
10,"Hackney, Madeleine E.","['Huddleston, Daniel E.']",['10.3389/fneur.2020.00943'],"{'Huddleston, Daniel E.'}","[""Rationale and Design of the PAIRED Trial: Partnered Dance Aerobic Exercise as a Neuroprotective, Motor, and Cognitive Intervention in Parkinson's Disease""]"
11,"Theves, Stephanie","['Doeller, Christian F.', 'Doeller, Christian F.']","['10.1523/JNEUROSCI.0494-20.2020', '10.1016/j.cub.2019.02.035']","{'Doeller, Christian F.'}","['The Hippocampus Maps Concept Space, Not Feature Space', 'The Hippocampus Encodes Distances in Multidimensional Feature Space']"
12,"Zeman, Adam","['Winlove, Crawford']",['10.1016/j.cortex.2020.04.003'],"{'Winlove, Crawford'}",['Phantasia-The psychological significance of lifelong visual imagery vividness extremes']
13,"Berens, Sam C.","['Harrison, Neil A.']",['10.1038/s41386-020-00811-8'],"{'Harrison, Neil A.'}",['Minocycline differentially modulates human spatial memory systems']
14,"Ptak, Radek","['Iannotti, Giannina Rita']",['10.1523/JNEUROSCI.0625-20.2020'],"{'Iannotti, Giannina Rita'}",['Discrete Patterns of Cross-Hemispheric Functional Connectivity Underlie Impairments of Spatial Cognition after Stroke']
15,"Aedo-Jury, Felipe","['Severac Cauquil, Alexandra']",['10.3389/fnint.2020.00043'],"{'Severac Cauquil, Alexandra'}",['Antero-Posterior vs. Lateral Vestibular Input Processing in Human Visual Cortex']
16,"Miro, Julia","['Rodriguez-Fornells, Antoni']",['10.1007/s11682-019-00113-8'],"{'Rodriguez-Fornells, Antoni'}",['Autobiographical memory in epileptic patients after temporal lobe resection or bitemporal hippocampal sclerosis']
17,"Nema, Eva","['Laczo, Jan']",['10.1007/s00415-020-10079-z'],"{'Laczo, Jan'}",['Spatial navigation in early multiple sclerosis: a neglected cognitive marker of the disease?']
