,author,co-author,doi,co-author_list,title
0,"Nash, Michelle I.","['Kirwan, C. Brock']",['10.1002/hipo.23299'],"{'Kirwan, C. Brock'}",['Pattern separation beyond the hippocampus: A high-resolution whole-brain investigation of mnemonic discrimination in healthy adults']
1,"Agathos, Catherine Persephone","['Arleo, Angelo']",['10.3389/fnagi.2020.588653'],"{'Arleo, Angelo'}",['Postural Control While Walking Interferes With Spatial Learning in Older Adults Navigating in a Real Environment']
2,"Zhang, Ze","['Luo, Jing']",['10.1155/2020/1049721'],"{'Luo, Jing'}",['The Function of the Hippocampus in Bridging Functional and Temporal Discontiguity']
3,"Clark, Ian A.","['Maguire, Eleanor A.']",['10.1016/j.neuroimage.2020.117211'],"{'Maguire, Eleanor A.'}",['Does hippocampal volume explain performance differences on hippocampal-dependant tasks?']
4,"Seguin, Caio","['Zalesky, Andrew']",['10.1162/netn_a_00161'],"{'Zalesky, Andrew'}",['Network communication models improve the behavioral and functional predictive utility of the human structural connectome']
5,"Vazquez-Rodriguez, Bertha","['Misic, Bratislav']",['10.1162/netn_a_00153'],"{'Misic, Bratislav'}",['Signal propagation via cortical hierarchies']
6,"Monsa, Rotem","['Arzy, Shahar']",['10.1162/jocn_a_01615'],"{'Arzy, Shahar'}",['Processing of Different Temporal Scales in the Human Brain']
7,"Dombrovski, Alexandre Y.","['Hallquist, Michael N.']",['10.1038/s41467-020-18864-0'],"{'Hallquist, Michael N.'}",['Differential reinforcement encoding along the hippocampal long axis helps resolve the explore-exploit dilemma']
8,"Theves, Stephanie","['Doeller, Christian F.', 'Doeller, Christian F.']","['10.1523/JNEUROSCI.0494-20.2020', '10.1016/j.cub.2019.02.035']","{'Doeller, Christian F.'}","['The Hippocampus Maps Concept Space, Not Feature Space', 'The Hippocampus Encodes Distances in Multidimensional Feature Space']"
9,"Berens, Sam C.","['Harrison, Neil A.']",['10.1038/s41386-020-00811-8'],"{'Harrison, Neil A.'}",['Minocycline differentially modulates human spatial memory systems']
10,"Aedo-Jury, Felipe","['Severac Cauquil, Alexandra']",['10.3389/fnint.2020.00043'],"{'Severac Cauquil, Alexandra'}",['Antero-Posterior vs. Lateral Vestibular Input Processing in Human Visual Cortex']
11,"Nema, Eva","['Laczo, Jan']",['10.1007/s00415-020-10079-z'],"{'Laczo, Jan'}",['Spatial navigation in early multiple sclerosis: a neglected cognitive marker of the disease?']
12,"Sulpizio, Valentina","['Pitzalis, Sabrina', 'Galati, Gaspare', 'Galati, Gaspare', 'Galati, Gaspare']","['10.1007/s00429-020-02112-8', '10.3389/fnhum.2018.00167', '10.1002/hipo.22592', '10.3389/fnhum.2014.00716']","{'Pitzalis, Sabrina', 'Galati, Gaspare'}","['A common neural substrate for processing scenes and egomotion-compatible visual motion', ""Neural Codes for One's Own Position and Direction in a Real-World Vista Environment"", 'Functional Connectivity Between Posterior Hippocampus and Retrosplenial Complex Predicts Individual Differences in Navigational Ability', 'Distributed cognitive maps reflecting real distances between places and views in the human brain']"
13,"Nau, Matthias","['Doeller, Christian F.', 'Doeller, Christian F.']","['10.1038/s41467-020-17000-2', '10.1038/s41593-017-0050-8']","{'Doeller, Christian F.'}","['Behavior-dependent directional tuning in the human visual-navigation network', 'Hexadirectional coding of visual space in human entorhinal cortex']"
14,"Brown, Thackery, I","['Wagner, Anthony D.', 'He, Qiliang']","['10.1016/j.cub.2020.03.006', '10.1016/j.cub.2019.06.072']","{'Wagner, Anthony D.', 'He, Qiliang'}","['Stress Disrupts Human Hippocampal-Prefrontal Function during Prospective Spatial Navigation and Hinders Flexible Behavior', 'Environmental Barriers Disrupt Grid-like Representations in Humans during Navigation']"
